Index;Price;Host Since;Host Response Rate;Host Verifications;Neighbourhood Group Cleansed;Longitude;Room Type;Accommodates;Bathrooms;Bedrooms;Amenities;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 30;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Calculated host listings count;Reviews per Month;Features
6200;90.0;7;96.0;4;68.8821138211382;-3.6802821053783736;80.1381671466533;3;1.0;1.0;8;0.0;0.0;1;0;0;11;84.0;9.0;9.0;8.0;9.0;8.0;8.0;58.728428701180746;5.0;0.6;4
9074;18.0;3;100.0;4;59.78174928572369;-3.7179140975002287;32.38965911831498;1;2.0;1.0;12;0.0;0.0;1;0;0;3;100.0;9.0;9.0;10.0;10.0;8.0;9.0;58.728428701180746;1.0;1.45;3
9190;55.0;5;100.0;5;64.56904097353802;-3.7014152729399776;80.1381671466533;3;1.0;1.0;18;0.0;24.0;2;25;3;35;96.0;10.0;10.0;10.0;10.0;10.0;9.0;65.22549019607843;1.0;1.83;3
354;39.0;4;100.0;2;64.56904097353802;-3.7016440130535684;80.1381671466533;2;1.0;0.0;10;100.0;0.0;1;0;7;15;85.0;9.0;9.0;9.0;9.0;9.0;9.0;58.728428701180746;1.0;2.92;4
9489;60.0;5;100.0;6;35.191964285714285;-3.7291039870622873;80.1381671466533;6;1.0;3.0;12;100.0;20.0;4;7;7;14;91.0;9.0;8.0;9.0;9.0;8.0;9.0;65.22549019607843;2.0;0.79;5
3636;78.0;6;89.0;3;60.31679389312977;-3.7053943662476376;80.1381671466533;6;1.0;3.0;5;0.0;0.0;1;0;0;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;50.39969226382209;9.0;2.1509986225895266;3
12810;50.0;5;96.04274307186472;1;64.56904097353802;-3.6995390739002723;32.38965911831498;2;2.0;1.0;6;0.0;0.0;1;0;0;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;50.39969226382209;1.0;2.1509986225895266;2
3860;29.0;5;96.04274307186472;3;68.8821138211382;-3.673463843168536;32.38965911831498;2;2.0;1.0;9;0.0;0.0;1;0;0;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;65.22549019607843;1.0;2.1509986225895266;2
7496;150.0;6;96.04274307186472;4;66.66331658291458;-3.6754176696118064;80.1381671466533;4;2.0;2.0;18;0.0;100.0;1;0;0;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;50.39969226382209;1.0;2.1509986225895266;2
3491;60.0;6;100.0;4;64.56904097353802;-3.712405878956509;80.1381671466533;2;1.0;1.0;17;100.0;33.0;2;40;2;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;58.728428701180746;1.0;2.1509986225895266;4
